Normal Fight Random Loot, FID="FU5z4YWPFKMEfRNE" UGFLinkReference="sE2sE145" FIDparent="FSGhUUi2RBF4vR1c" UGFparent="sEsE631",FU5z4YWPFKMEfRNE,sE2sE145,FSGhUUi2RBF4vR1c,sEsE631,3,sE,2sE145
Boss Fight Random Loot, FID="FeNOvhdHx1RH7xal" UGFLinkReference="sE2sE146" FIDparent="FSGhUUi2RBF4vR1c" UGFparent="sEsE631",FeNOvhdHx1RH7xal,sE2sE146,FSGhUUi2RBF4vR1c,sEsE631,3,sE,2sE146
Magic Item Tables (by tier and rarity), FID="Fqhq62RLh8TXoEOF" UGFLinkReference="sE2sE147" FIDparent="FSGhUUi2RBF4vR1c" UGFparent="sEsE631",Fqhq62RLh8TXoEOF,sE2sE147,FSGhUUi2RBF4vR1c,sEsE631,3,sE,2sE147
Magic Scrolls, FID="FwG5GbDksepAXTdl" UGFLinkReference="sE2sE148" FIDparent="FSGhUUi2RBF4vR1c" UGFparent="sEsE631",FwG5GbDksepAXTdl,sE2sE148,FSGhUUi2RBF4vR1c,sEsE631,3,sE,2sE148
Backgrounds, FID="GghyyRMaxNfucOPh" UGFLinkReference="sE2sE142" FIDparent="GQRnXTit6JiMtSZi" UGFparent="sEsE31",GghyyRMaxNfucOPh,sE2sE142,GQRnXTit6JiMtSZi,sEsE31,3,sE,2sE142
Buildings, FID="GnRsspW3E7aRM61L" UGFLinkReference="sE2sE143" FIDparent="GQRnXTit6JiMtSZi" UGFparent="sEsE31",GnRsspW3E7aRM61L,sE2sE143,GQRnXTit6JiMtSZi,sEsE31,3,sE,2sE143
Cities, FID="GocrWLiZUaiKr4oW" UGFLinkReference="sE2sE144" FIDparent="GQRnXTit6JiMtSZi" UGFparent="sEsE31",GocrWLiZUaiKr4oW,sE2sE144,GQRnXTit6JiMtSZi,sEsE31,3,sE,2sE144
NPC Customization, FID="GnBHh6kbETGYXn8f" UGFLinkReference="sE3sE173" FIDparent="GQRnXTit6JiMtSZi" UGFparent="sEsE31",GnBHh6kbETGYXn8f,sE3sE173,GQRnXTit6JiMtSZi,sEsE31,3,sE,3sE173
City Districts, FID="GqBTXJkHn257roUE" UGFLinkReference="sE3sE172" FIDparent="GQRnXTit6JiMtSZi" UGFparent="sEsE31",GqBTXJkHn257roUE,sE3sE172,GQRnXTit6JiMtSZi,sEsE31,3,sE,3sE172
Mixed Districts, FID="GsPgiOL7EReHbCpy" UGFLinkReference="sE4sE39" FIDparent="GQRnXTit6JiMtSZi" UGFparent="sEsE31",GsPgiOL7EReHbCpy,sE4sE39,GQRnXTit6JiMtSZi,sEsE31,3,sE,4sE39
